PLAYER_ID,TEAM_ID,AGE,MIN,GP,MPG,REB,PTS,PLAYER_NAME,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,POSITION,PPG,RPG,TEAM_ABBREVIATION,DIVISION,CONFERENCE
1627362,1610612766,24,205.205,20,10.26025,26,62,Briante Weber,2-Jun,74,G,3.1,1.3,CHA,SE,E
1626780,1610612742,29,231.21,17,13.60058824,22,106,Jonathan Gibson,2-Jun,74,N,6.2,1.3,DAL,SW,W
203552,1610612742,26,2028.846667,70,28.98352381,179,898,Seth Curry,2-Jun,74,G,12.8,2.6,DAL,SW,W
201628,1610612745,32,123.03,25,4.9212,6,62,Bobby Brown,2-Jun,74,G,2.5,0.2,HOU,SW,W
201952,1610612754,29,2657.041667,82,32.40294716,330,1254,Jeff Teague,2-Jun,74,G,15.3,4,IND,CNT,E
1626202,1610612754,25,135.1633333,33,4.095858585,17,68,Joe Young,2-Jun,74,G,2.1,0.5,IND,CNT,E
201962,1610612763,31,393.8033333,24,16.40847222,61,117,Toney Douglas,2-Jun,74,N,4.9,2.5,MEM,SW,W
1891,1610612749,39,1364.9,74,18.44459459,106,307,Jason Terry,2-Jun,74,G,4.1,1.4,MIL,CNT,E
1626145,1610612750,21,774.1366667,60,12.90227778,67,209,Tyus Jones,2-Jun,74,G,3.5,1.1,MIN,NW,W
1626188,1610612740,24,187.46,14,13.39,7,79,Quinn Cook,2-Jun,74,G,5.6,0.5,NOP,SW,W
1626184,1610612752,24,299.0416667,26,11.50160257,32,137,Chasson Randle,2-Jun,74,G,5.3,1.2,NYK,ATL,E
202708,1610612760,28,124.9266667,13,9.609743592,11,43,Norris Cole,2-Jun,74,G,3.3,0.8,OKC,NW,W
